id,propositions,nl_sentence,dataset_tl
4813,"['prop_1', 'prop_2', 'prop_3']","Whenever ( prop_2 ) happens, then ( prop_3 ) and ( prop_1 ) will happen.",G(prop_2 -> (prop_3 & prop_1))
4814,"['prop_1', 'prop_2']",whenever ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
4815,"['prop_1', 'prop_2', 'prop_3']","While the event that ( prop_1 ) does not occur , then all of the following conditions hold : immediately ( prop_2 ) , or the event that ( prop_3 ) takes place .",G(prop_1 -> (prop_2 | prop_3))
4816,"['prop_1', 'prop_2', 'prop_3']",It is always the case that everytime when the scenario that ( prop_2 ) gets observed then the following condition is true : ( prop_1 ) or ( prop_3 ) .,G(prop_2 -> (prop_1 | prop_3))
4817,"['prop_1', 'prop_2']",whenever ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
4818,"['prop_1', 'prop_2']",at any time ( prop_1 ) or at some time ( prop_2 ),F(prop_1 | F prop_2)
4819,"['prop_1', 'prop_2', 'prop_3']","If whenever (prop_2), then (prop_1), then always (prop_3) .",((prop_2 -> prop_1) -> G prop_3)
4820,"['prop_1', 'prop_2']",In case that the event that ( prop_1 ) is observed then all of the following conditions are true : ( prop_2 ) .,G(prop_1 -> prop_2)
4821,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_2 ) or ( prop_3 ) , then the following condition holds : ( prop_1 ) .",G((prop_2 | prop_3) -> prop_1)
4822,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","In case that ( prop_3 ) , and ( prop_1 ) , then in response ( prop_2 ) , and ( prop_4 ) .",G((prop_3 & prop_1) -> (prop_2 & prop_4))
4823,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when the event that ( prop_2 ) takes place , then the following condition is true : the event that ( prop_3 ) must be observed at the same time point , and ( prop_1 ) .",G(prop_2 -> (prop_3 & prop_1))
4824,"['prop_1', 'prop_2', 'prop_3']","Globally , when ( prop_1 ) and ( prop_2 ) , then in response at the same time instant ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
4825,"['prop_1', 'prop_2']",In case that the event that ( prop_1 ) takes place then in response ( prop_2 ) .,G(prop_1 -> prop_2)
4826,"['prop_1', 'prop_2']",( prop_1 ) or whenever ( prop_2 ),(prop_1 | F prop_2)
4827,"['prop_1', 'prop_2', 'prop_3']","It is always the case that if ( prop_3 ) and ( prop_2 ) , then all of the following conditions are true : at a certain time point in the future , ( prop_1 ) .",G((prop_3 & prop_2) -> F prop_1)
4828,"['prop_1', 'prop_2', 'prop_3']","It is always the case that in case that the scenario that ( prop_3 ) happens , then the following condition is true : ultimately the event that ( prop_2 ) needs to happen at a time in the future , until then ( prop_1 ) .",G(prop_3 -> (prop_2 U prop_1))
4829,"['prop_1', 'prop_2', 'prop_3']","If the event that ( prop_2 ) does not occur , or ( prop_1 ) , then ( prop_3 ) .",G((prop_2 | prop_1) -> prop_3)
4830,"['prop_1', 'prop_2', 'prop_3']","If the scenario ( prop_3 ) or ( prop_2 ) is observed, then ( prop_1 ) will happen in response.",G((prop_3 | prop_2) -> prop_1)
4831,"['prop_1', 'prop_2', 'prop_3']","As soon as the transition action that ( prop_2 ) gets detected , or ( prop_1 ) then all of the following conditions hold : ( prop_3 ) .",G((prop_2 | prop_1) -> prop_3)
4832,"['prop_1', 'prop_2', 'prop_3']","Globally , if ( prop_1 ) or ( prop_3 ) then the following condition is not true : consistently the transition action that ( prop_2 ) does n't take place for each time point within the following 13 to 71 time units .",G((prop_1 | prop_3) -> ~( G prop_2))
4833,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","Globally , whenever the event that ( prop_3 ) gets detected or ( prop_4 ) then the following condition holds : ( prop_2 ) or simultaneously ( prop_1 ) .",G((prop_3 | prop_4) -> (prop_2 | prop_1))
4834,"['prop_1', 'prop_2', 'prop_3']","If ( prop_3 ) , or ( prop_1 ) , then without any delay ( prop_2 ) .",G((prop_3 | prop_1) -> prop_2)
4835,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_2 ) , and ( prop_3 ) then all of the following conditions hold : there has to exist a certain time point in the future before the end of the simulation finally , at which ( prop_1 ) .",G((prop_2 & prop_3) -> F( G prop_1))
4836,"['prop_1', 'prop_2', 'prop_3']","When ( prop_3 ) , or ( prop_2 ) then the following condition holds : at a certain moment in the future , the transition action that ( prop_1 ) will finally take place .",G((prop_3 | prop_2) -> F prop_1)
4837,"['prop_1', 'prop_2']",( prop_1 ) and at some time ( prop_2 ),(prop_1 & F prop_2)
4838,"['prop_1', 'prop_2', 'prop_3']","As soon as ( prop_1 ) , or ( prop_2 ) then all of the following conditions are true : ( prop_3 ) .",G((prop_1 | prop_2) -> prop_3)
4839,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","It is always the case that whenever ( prop_3 ) , or ( prop_4 ) then the following condition holds : ( prop_2 ) and ( prop_1 ) .",G((prop_3 | prop_4) -> (prop_2 & prop_1))
4840,"['prop_1', 'prop_2', 'prop_3']","Whenever ( prop_3 ) , and ( prop_2 ) then all of the following conditions hold : there is finally a time in the future before the end of the execution , after which for each moment in the subsequent 50 time units ( prop_1 ) .",G((prop_3 & prop_2) -> F( G prop_1))
4841,"['prop_1', 'prop_2', 'prop_3']","On condition that ( prop_3 ) and ( prop_1 ) then all of the following conditions hold : there needs to be ultimately a certain time point in the future before the end of the execution , at which ( prop_2 ) .",G((prop_3 & prop_1) -> F prop_2)
4842,"['prop_1', 'prop_2', 'prop_3']","It is always the case that while ( prop_1 ) , and ( prop_3 ) then the following condition is true : ( prop_2 ) .",G((prop_1 & prop_3) -> prop_2)
4843,"['prop_1', 'prop_2', 'prop_3']","It is always the case that whenever the event that ( prop_3 ) occurs , then all of the following conditions are true : ( prop_2 ) , or ( prop_1 ) .",G(prop_3 -> (prop_2 | prop_1))
4844,"['prop_1', 'prop_2', 'prop_3']","When ( prop_2 ) , then all of the following conditions hold : ( prop_1 ) and this scenario will keep all the time until finally ( prop_3 ) .",G(prop_2 -> (prop_1 U prop_3))
4845,"['prop_1', 'prop_2']",when possible ( prop_1 ) and never ( prop_2 ),F(prop_1 & G(~prop_2))
4846,"['prop_1', 'prop_2', 'prop_3', 'prop_4']",It is always the case that while ( prop_1 ) or ( prop_2 ) then all of the following conditions hold : ( prop_3 ) and ( prop_4 ) .,G((prop_1 | prop_2) -> (prop_3 & prop_4))
4847,"['prop_1', 'prop_2', 'prop_3']","Globally , if ( prop_3 ) and ( prop_2 ) then all of the following conditions are true : there needs to be a certain time point in the future , at which ( prop_1 ) .",G((prop_3 & prop_2) -> F prop_1)
4848,"['prop_1', 'prop_2', 'prop_3']","Globally , if ( prop_2 ) , and the scenario that ( prop_3 ) takes place , then all of the following conditions are true : at a time in the future before the end of the execution ( prop_1 ) and then this condition will sustain consecutively in the future .",G((prop_2 & prop_3) -> F( G prop_1))
4849,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","Globally , whenever ( prop_1 ) , or ( prop_3 ) then the following condition is true : ( prop_2 ) , and at the same time ( prop_4 ) .",G((prop_1 | prop_3) -> (prop_2 & prop_4))
4850,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_1 ) , then the following condition is true : ( prop_2 ) and this scenario ought to keep consecutively until at sometime in the future before ( prop_3 ) .",G(prop_1 -> (prop_2 U prop_3))
4851,"['prop_1', 'prop_2']",forever ( prop_1 ) and ( prop_2 ),G(prop_1 & prop_2)
4852,"['prop_1', 'prop_2']","Globally , when ( prop_1 ) then all of the following conditions are true : ( prop_2 ) .",G(prop_1 -> prop_2)
4853,"['prop_1', 'prop_2']",never ( prop_1 ) or whenever ( prop_2 ),G(~prop_1 | F prop_2)
4854,"['prop_1', 'prop_2', 'prop_3']",Whenever the transition action that ( prop_2 ) happens then all of the following conditions hold : ( prop_1 ) and without any delay the scenario that ( prop_3 ) shall not get observed .,G(prop_2 -> (prop_1 & prop_3))
4855,"['prop_1', 'prop_2']","Globally , if the scenario that ( prop_1 ) is observed , then in response ( prop_2 ) .",G(prop_1 -> prop_2)
4856,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_1 ) and ( prop_2 ) then the following condition holds : at a time in the future before the end of the execution ( prop_3 ) then continuously this scenario has to last in the future until the end of the execution .",G((prop_1 & prop_2) -> F( G prop_3))
4857,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_3 ) , and ( prop_1 ) , then ( prop_2 ) .",G((prop_3 & prop_1) -> prop_2)
4858,"['prop_1', 'prop_2', 'prop_3']","If it is not the case that ( prop_3 ) and ( prop_2 ) , then ( prop_1 ) .",(~(prop_3 & prop_2) -> prop_1)
4859,"['prop_1', 'prop_2']",at some time ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2)
4860,"['prop_1', 'prop_2', 'prop_3']","While ( prop_2 ) , and ( prop_1 ) then all of the following conditions hold : immediately ( prop_3 ) .",G((prop_2 & prop_1) -> prop_3)
4861,"['prop_1', 'prop_2', 'prop_3']","Globally , while ( prop_3 ) or ( prop_1 ) , then all of the following conditions hold : there must eventually exist sometime in the future before the end of the execution , at which ( prop_2 ) and this scenario will consistently remain in the future till the end of the simulation .",G((prop_3 | prop_1) -> F( G prop_2))
4862,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","It is always the case that when ( prop_3 ) , or ( prop_2 ) , then ( prop_1 ) , and starting without any delay ( prop_4 ) .",G((prop_3 | prop_2) -> (prop_1 & prop_4))
4863,"['prop_1', 'prop_2', 'prop_3']","If ( prop_1 ) , or ( prop_3 ) , then the following condition holds : for every moment in the future until the end of the execution there will exist a certain time instant in the subsequent 9 to 74 time units , at which the scenario that ( prop_2 ) needs to happen ultimately .",G((prop_1 | prop_3) -> G( F prop_2))
4864,"['prop_1', 'prop_2', 'prop_3']","Globally , whenever the transition action that ( prop_3 ) is observed then the following condition holds : there has to be a time in the future before the execution ends eventually , at which the scenario that ( prop_2 ) shall get observed , before ( prop_1 ) .",G(prop_3 -> (prop_2 U prop_1))
4865,"['prop_1', 'prop_2', 'prop_3']","If ( prop_3 ) and ( prop_2 ) , then the following condition holds : ( prop_1 ) .",G((prop_3 & prop_2) -> prop_1)
4866,"['prop_1', 'prop_2', 'prop_3']",As soon as the scenario that ( prop_2 ) gets detected then in response right away ( prop_3 ) or ( prop_1 ) .,G(prop_2 -> (prop_3 | prop_1))
4867,"['prop_1', 'prop_2', 'prop_3']","It is always the case that if the transition action that ( prop_2 ) is observed , or ( prop_1 ) , then the following condition holds : for each time point in the future until the end of the execution , at a certain time point during the coming 15 to 29 time units finally the transition action that ( prop_3 ) ought to happen .",G((prop_2 | prop_1) -> G( F prop_3))
4868,"['prop_1', 'prop_2']",It is always the case that in case that the event that ( prop_1 ) happens then the following condition holds : simultaneously ( prop_2 ) .,G(prop_1 -> prop_2)
4869,"['prop_1', 'prop_2', 'prop_3']","It is always the case that whenever ( prop_2 ) , and ( prop_1 ) , then in response the event that ( prop_3 ) shall occur right away .",G((prop_2 & prop_1) -> prop_3)
4870,"['prop_1', 'prop_2', 'prop_3']","In the event that ( prop_3 ) and ( prop_2 ) , then all of the following conditions are true : ( prop_1 ) .",G((prop_3 & prop_2) -> prop_1)
4871,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_3 ) and the event that ( prop_2 ) happens then in response for each moment in the future until the end of the execution there ought to be a certain time instant in the first 57 to 62 time units , at which eventually the event that ( prop_1 ) .",G((prop_3 & prop_2) -> G( F prop_1))
4872,"['prop_1', 'prop_2']",when possible ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2)
4873,"['prop_1', 'prop_2', 'prop_3']","It is always the case that when ( prop_3 ) , or ( prop_2 ) , then all of the following conditions hold : ( prop_1 ) .",G((prop_3 | prop_2) -> prop_1)
4874,"['prop_1', 'prop_2']","If it is not the case that ( prop_1 ) happens at some point in the future , then ( prop_2 ) .",(~( F prop_1) -> prop_2)
4875,"['prop_1', 'prop_2']",at some time ( prop_1 ) and forever ( prop_2 ),F(prop_1 & G prop_2)
4876,"['prop_1', 'prop_2']",On condition that the event that ( prop_1 ) happens then the following condition is true : ( prop_2 ) .,G(prop_1 -> prop_2)
4877,"['prop_1', 'prop_2']",whenever ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2)
4878,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","Everytime when ( prop_1 ) and ( prop_2 ) , then ( prop_3 ) or without any delay the transition action that ( prop_4 ) should take place .",G((prop_1 & prop_2) -> (prop_3 | prop_4))
4879,"['prop_1', 'prop_2', 'prop_3']",As soon as ( prop_3 ) or ( prop_2 ) then the following condition is true : ( prop_1 ) .,G((prop_3 | prop_2) -> prop_1)
4880,"['prop_1', 'prop_2', 'prop_3']","Globally , while ( prop_2 ) , or ( prop_1 ) then the following condition holds : ( prop_3 ) .",G((prop_2 | prop_1) -> prop_3)
4881,"['prop_1', 'prop_2', 'prop_3']","It is always the case that if the event that ( prop_3 ) happens , then all of the following conditions are true : ( prop_1 ) then consistently this scenario will have to keep until ( prop_2 ) .",G(prop_3 -> (prop_1 U prop_2))
4882,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","The scenario that ( prop_2 ) or ( prop_3 ) or ( prop_1 ) should happen until at some point in the future , and then at some point after that , ( prop_4 ) should happen .",(((prop_2 | prop_3) | prop_1) U prop_4)
4883,"['prop_1', 'prop_2', 'prop_3']","On condition that ( prop_1 ) and the scenario that ( prop_3 ) gets observed , then all of the following conditions are true : ( prop_2 ) .",G((prop_1 & prop_3) -> prop_2)
4884,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when the scenario that ( prop_1 ) takes place and ( prop_2 ) , then all of the following conditions are true : at the same time ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
4885,"['prop_1', 'prop_2', 'prop_3']","It is always the case that if ( prop_1 ) then all of the following conditions are true : at the same time instant the scenario that ( prop_2 ) shall never be observed , and ( prop_3 ) .",G(prop_1 -> (prop_2 & prop_3))
4886,"['prop_1', 'prop_2', 'prop_3']","It is always the case that everytime when ( prop_1 ) , or the scenario that ( prop_2 ) gets detected , then the following condition holds : ( prop_3 ) .",G((prop_1 | prop_2) -> prop_3)
4887,"['prop_1', 'prop_2']",whenever ( prop_1 ) or never ( prop_2 ),F(prop_1 | G(~prop_2))
4888,"['prop_1', 'prop_2', 'prop_3']",If the scenario that ( prop_1 ) gets detected and the scenario that ( prop_3 ) occurs then immediately ( prop_2 ) .,G((prop_1 & prop_3) -> prop_2)
4889,"['prop_1', 'prop_2', 'prop_3']","If (prop_3), then do (prop_2), or else make sure (prop_1) finally happens .",((prop_3 -> prop_2) | F prop_1)
4890,"['prop_1', 'prop_2', 'prop_3']","Globally , when the scenario that ( prop_1 ) does not happen and ( prop_3 ) , then all of the following conditions are true : for every time instant in the future till the execution ends , ( prop_2 ) .",G((prop_1 & prop_3) -> G( F prop_2))
4891,"['prop_1', 'prop_2', 'prop_3']","When ( prop_1 ) or ( prop_2 ) , then the following condition holds : there should be a certain time instant in the future before the end of the simulation , at which ultimately ( prop_3 ) .",G((prop_1 | prop_2) -> F prop_3)
4892,"['prop_1', 'prop_2']",( prop_1 ) or repeatedly ( prop_2 ),(prop_1 | G( F prop_2))
4893,"['prop_1', 'prop_2', 'prop_3']","Globally , in case that the event that ( prop_3 ) happens then all of the following conditions are true : there needs to exist a certain time point in the future before the simulation ends finally , at which ( prop_1 ) , and till then continuously ( prop_2 ) .",G(prop_3 -> (prop_1 U prop_2))
4894,"['prop_1', 'prop_2']",at any time ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
4895,"['prop_1', 'prop_2']",when possible ( prop_1 ) or at some time ( prop_2 ),F(prop_1 | F prop_2)
4896,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","In the case ( prop_1 ) , and ( prop_2 ) then the following condition holds : ( prop_3 ) and at the same time point ( prop_4 ) .",G((prop_1 & prop_2) -> (prop_3 & prop_4))
4897,"['prop_1', 'prop_2', 'prop_3']",If ( prop_3 ) and ( prop_2 ) then immediately ( prop_1 ) .,G((prop_3 & prop_2) -> prop_1)
4898,"['prop_1', 'prop_2', 'prop_3']","If (prop_1), then (prop_3), or always (prop_2) .",((prop_1 -> prop_3) | G prop_2)
4899,"['prop_1', 'prop_2', 'prop_3']","If (prop_3), (prop_2) and (prop_1) as well.",(prop_3 -> (prop_2 & prop_1))
4900,"['prop_1', 'prop_2', 'prop_3']","While ( prop_1 ) or ( prop_2 ), the following conditions will be met: ( prop_3 ) will happen without any delay.",G((prop_1 | prop_2) -> prop_3)
4901,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","(prop_3) and (prop_1) should happen at the same time, and (prop_2) should happen until (prop_4) afterwards .",((prop_3 & prop_1) & (prop_2 U prop_4))
4902,"['prop_1', 'prop_2', 'prop_3']","As soon as ( prop_2 ) , or ( prop_1 ) then in response at the same time point ( prop_3 ) .",G((prop_2 | prop_1) -> prop_3)
4903,"['prop_1', 'prop_2']",when possible ( prop_1 ) or always ( prop_2 ),F(prop_1 | G prop_2)
4904,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_1 ) , or ( prop_3 ) , then all of the following conditions hold : immediately ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2)
4905,"['prop_1', 'prop_2']",( prop_1 ) and when possible ( prop_2 ),(prop_1 & F prop_2)
4906,"['prop_1', 'prop_2', 'prop_3']","In case that the transition action that ( prop_3 ) occurs and ( prop_2 ) , then ( prop_1 ) .",G((prop_3 & prop_2) -> prop_1)
4907,"['prop_1', 'prop_2']",It is always the case that whenever the scenario that ( prop_1 ) gets detected then the following condition is true : ( prop_2 ) .,G(prop_1 -> prop_2)
4908,"['prop_1', 'prop_2', 'prop_3']","It is always the case that in case that ( prop_1 ) , and ( prop_2 ) , then in response in no time ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
4909,"['prop_1', 'prop_2', 'prop_3']","( prop_2 ) or ( prop_1 ) happens , or else at some point ( prop_3 ) happens .",((prop_2 | prop_1) | F prop_3)
4910,"['prop_1', 'prop_2']",at some time ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
4911,"['prop_1', 'prop_2']","It is always the case that if the scenario that ( prop_1 ) is observed , then the following condition holds : ( prop_2 ) .",G(prop_1 -> prop_2)
4912,"['prop_1', 'prop_2', 'prop_3']","If you do (prop_2) and as a result (prop_3), then do (prop_1) soon .",((prop_2 -> prop_3) -> F prop_1)
4913,"['prop_1', 'prop_2', 'prop_3']","In case that the transition action that ( prop_2 ) is detected then the following condition holds : ( prop_1 ) , or ( prop_3 ) .",G(prop_2 -> (prop_1 | prop_3))
4914,"['prop_1', 'prop_2']",( prop_1 ) or ( prop_2 ),(prop_1 | prop_2)
4915,"['prop_1', 'prop_2', 'prop_3']","As soon as ( prop_1 ) , or the transition action that ( prop_3 ) happens , then all of the following conditions hold : ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2)
4916,"['prop_1', 'prop_2']",( prop_1 ) and at any time ( prop_2 ),(prop_1 & F prop_2)
4917,"['prop_1', 'prop_2']","It is always the case that if the event that ( prop_1 ) takes place , then all of the following conditions hold : at once ( prop_2 ) .",G(prop_1 -> prop_2)
4918,"['prop_1', 'prop_2', 'prop_3']","It is always the case that in case that ( prop_2 ) , and ( prop_1 ) , then in response ( prop_3 ) .",G((prop_2 & prop_1) -> prop_3)
4919,"['prop_1', 'prop_2']",never ( prop_1 ) or don't ( prop_2 ),G(~prop_1 | ~( F prop_2))
4920,"['prop_1', 'prop_2', 'prop_3']",It is always the case that in case that the transition action that ( prop_2 ) happens then ( prop_3 ) and ( prop_1 ) .,G(prop_2 -> (prop_3 & prop_1))
4921,"['prop_1', 'prop_2', 'prop_3']","Globally , in case that ( prop_1 ) , and ( prop_2 ) then there must be eventually a certain time point in the future before the simulation ends , after which ( prop_3 ) and this scenario needs to sustain for the following 79 to 88 time units .",G((prop_1 & prop_2) -> F( G prop_3))
4922,"['prop_1', 'prop_2']",( prop_1 ) or ( prop_2 ),(prop_1 | prop_2)
4923,"['prop_1', 'prop_2', 'prop_3']",On condition that the scenario that ( prop_3 ) happens then the following condition holds : at the same time instant ( prop_1 ) and promptly ( prop_2 ) .,G(prop_3 -> (prop_1 & prop_2))
4924,"['prop_1', 'prop_2']","It is always the case that when the scenario that ( prop_1 ) happens , then all of the following conditions hold : ( prop_2 ) .",G(prop_1 -> prop_2)
4925,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_3 ) and ( prop_2 ) , then all of the following conditions are true : ( prop_1 ) .",G((prop_3 & prop_2) -> prop_1)
4926,"['prop_1', 'prop_2']",( prop_1 ) and ( prop_2 ),(prop_1 & prop_2)
4927,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_3 ) then the following condition holds : the event that ( prop_2 ) shall immediately not take place or ( prop_1 ) .",G(prop_3 -> (prop_2 | prop_1))
4928,"['prop_1', 'prop_2', 'prop_3']","If (prop_3), then (prop_1), or else don't (prop_2) .",((prop_3 -> prop_1) | ~prop_2)
4929,"['prop_1', 'prop_2', 'prop_3']","It is always the case that when ( prop_3 ) , and ( prop_2 ) , then the following condition is true : ( prop_1 ) .",G((prop_3 & prop_2) -> G prop_1)
4930,"['prop_1', 'prop_2']",when possible ( prop_1 ) and when possible ( prop_2 ),F(prop_1 & F prop_2)
4931,"['prop_1', 'prop_2']",It is always the case that whenever ( prop_1 ) then the following condition is true : ( prop_2 ) .,G(prop_1 -> prop_2)
4932,"['prop_1', 'prop_2', 'prop_3']","If (prop_1) has not occurred yet, then keep waiting until either (prop_2) or (prop_3) happens .",(~prop_1 U (prop_2 | prop_3))
4933,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when the transition action that ( prop_1 ) takes place then all of the following conditions hold : at the same time ( prop_3 ) , and starting without any delay ( prop_2 ) .",G(prop_1 -> (prop_3 & prop_2))
4934,"['prop_1', 'prop_2', 'prop_3']","If ( prop_2 ) , or ( prop_3 ) , then the following condition holds : at the same moment ( prop_1 ) .",G((prop_2 | prop_3) -> prop_1)
4935,"['prop_1', 'prop_2']","Globally , whenever the transition action that ( prop_1 ) is detected then the following condition is true : ( prop_2 ) .",G(prop_1 -> prop_2)
4936,"['prop_1', 'prop_2']",don't ( prop_1 ) or don't ( prop_2 ),~(prop_1 | ~prop_2)
4937,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","It is always the case that everytime when ( prop_1 ) , or ( prop_3 ) then the following condition is true : ( prop_4 ) , or promptly ( prop_2 ) .",G((prop_1 | prop_3) -> (prop_4 | prop_2))
4938,"['prop_1', 'prop_2']",whenever ( prop_1 ) or at any time ( prop_2 ),F(prop_1 | F prop_2)
4939,"['prop_1', 'prop_2']","In case that the scenario that ( prop_1 ) gets observed , then the following condition is true : at the same time instant ( prop_2 ) .",G(prop_1 -> prop_2)
4940,"['prop_1', 'prop_2']",when possible ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2)
4941,"['prop_1', 'prop_2', 'prop_3']","In case that the event that ( prop_1 ) occurs , then all of the following conditions hold : simultaneously ( prop_3 ) and right away ( prop_2 ) .",G(prop_1 -> (prop_3 & prop_2))
4942,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","Everytime when ( prop_3 ) , or the scenario that ( prop_2 ) does n't take place then the following condition is true : in no time ( prop_1 ) and promptly the event that ( prop_4 ) shall happen .",G((prop_3 | prop_2) -> (prop_1 & prop_4))
4943,"['prop_1', 'prop_2']",do not ( prop_1 ) or whenever ( prop_2 ),~( F prop_1 | F prop_2)
4944,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_2 ) , then the following condition holds : ( prop_3 ) and the event that ( prop_1 ) should get observed immediately .",G(prop_2 -> (prop_3 & prop_1))
4945,"['prop_1', 'prop_2']","Globally , in case that ( prop_1 ) , then all of the following conditions are true : ( prop_2 ) .",G(prop_1 -> prop_2)
4946,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","If ( prop_2 ) or if ( prop_4 ) is detected , and if ( prop_3 ) then ( prop_1 ) .",(((prop_2 | prop_4) & prop_3) -> prop_1)
4947,"['prop_1', 'prop_2', 'prop_3']","In the case the event that ( prop_1 ) gets observed , then the following condition is true : ( prop_3 ) , and without any delay ( prop_2 ) .",G(prop_1 -> (prop_3 & prop_2))
4948,"['prop_1', 'prop_2']",at any time ( prop_1 ) or whenever ( prop_2 ),F(prop_1 | F prop_2)
4949,"['prop_1', 'prop_2', 'prop_3']","Everytime when ( prop_3 ) then all of the following conditions are true : ( prop_2 ) , and at the same time instant ( prop_1 ) .",G(prop_3 -> (prop_2 & prop_1))
4950,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when the event that ( prop_3 ) takes place , then all of the following conditions are true : the event that ( prop_2 ) must immediately take place and ( prop_1 ) .",G(prop_3 -> (prop_2 & prop_1))
4951,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","In the case ( prop_4 ) , or ( prop_3 ) then the following condition holds : at the same moment the transition action that ( prop_2 ) ought n't to happen , and in no time ( prop_1 ) .",G((prop_4 | prop_3) -> (prop_2 & prop_1))
4952,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_1 ) and the transition action that ( prop_2 ) gets detected , then the following condition is true : ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
4953,"['prop_1', 'prop_2', 'prop_3']","It is always the case that in case that the scenario that ( prop_1 ) gets observed , then all of the following conditions are true : right away the event that ( prop_2 ) should get detected , and at the same time instant the transition action that ( prop_3 ) should happen .",G(prop_1 -> (prop_2 & prop_3))
4954,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","Globally , if ( prop_2 ) and ( prop_4 ) then ( prop_3 ) and in no time the transition action that ( prop_1 ) has to get observed .",G((prop_2 & prop_4) -> (prop_3 & prop_1))
4955,"['prop_1', 'prop_2']","Everytime when the event that ( prop_1 ) gets detected , then all of the following conditions hold : ( prop_2 ) .",G(prop_1 -> prop_2)
4956,"['prop_1', 'prop_2', 'prop_3']","Globally , if the event that ( prop_3 ) is observed and ( prop_1 ) , then the following condition holds : ( prop_2 ) .",G((prop_3 & prop_1) -> prop_2)
4957,"['prop_1', 'prop_2', 'prop_3', 'prop_4']",Whenever ( prop_2 ) or ( prop_3 ) then all of the following conditions are true : ( prop_4 ) or immediately ( prop_1 ) .,G((prop_2 | prop_3) -> (prop_4 | prop_1))
4958,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_1 ) , or ( prop_3 ) then the following condition holds : the event that ( prop_2 ) must take place in no time .",G((prop_1 | prop_3) -> prop_2)
4959,"['prop_1', 'prop_2', 'prop_3']","Everytime when the event that ( prop_2 ) is detected or ( prop_3 ) , then the following condition is true : ( prop_1 ) .",G((prop_2 | prop_3) -> prop_1)
4960,"['prop_1', 'prop_2', 'prop_3']","Globally , whenever ( prop_2 ) , or the transition action that ( prop_3 ) takes place , then all of the following conditions hold : the scenario that ( prop_1 ) shall be observed at once .",G((prop_2 | prop_3) -> prop_1)
4961,"['prop_1', 'prop_2']","Globally , whenever the transition action that ( prop_1 ) takes place then in response ( prop_2 ) .",G(prop_1 -> prop_2)
4962,"['prop_1', 'prop_2']",at any time ( prop_1 ) and always ( prop_2 ),F(prop_1 & G prop_2)
4963,"['prop_1', 'prop_2', 'prop_3']","It is always the case that while ( prop_2 ) , and ( prop_3 ) then all of the following conditions hold : immediately the event that ( prop_1 ) ought n't to happen .",G((prop_2 & prop_3) -> prop_1)
4964,"['prop_1', 'prop_2', 'prop_3']","Whenever ( prop_2 ) and ( prop_3 ) , then all of the following conditions are true : ( prop_1 ) .",G((prop_2 & prop_3) -> prop_1)
